YEAR,day_of_year,count
2019,05-30,123
2019,05-31,137
2019,06-01,164
2019,06-02,124
2019,06-03,136
2019,06-04,151
2019,06-05,132
2019,06-06,121
2019,06-07,141
2019,06-08,137
2019,06-09,151
2019,06-10,150
2019,06-11,127
2019,06-12,145
2019,06-13,114
2019,06-14,123
2019,06-15,142
2019,06-16,138
2019,06-17,126
2019,06-18,142
2019,06-19,130
2019,06-20,111
2019,06-21,139
2019,06-22,156
2019,06-23,133
2019,06-24,163
2019,06-25,142
2019,06-26,161
2019,06-27,152
2019,06-28,177
2019,06-29,137
2019,06-30,120
2019,07-01,165
2019,07-02,141
2019,07-03,165
2019,07-04,159
2019,07-05,163
2019,07-06,142
2019,07-07,132
2019,07-08,157
2019,07-09,155
2019,07-10,135
2019,07-11,139
2019,07-12,149
2019,07-13,151
2019,07-14,152
2019,07-15,144
2019,07-16,138
2019,07-17,181
2019,07-18,140
2019,07-19,162
2019,07-20,127
2019,07-21,144
2019,07-22,139
2019,07-23,134
2019,07-24,164
2019,07-25,120
2019,07-26,153
2019,07-27,148
2019,07-28,151
2019,07-29,166
2019,07-30,140
2019,07-31,139
2019,08-01,163
2019,08-02,152
2019,08-03,147
2019,08-04,134
2019,08-05,172
2019,08-06,134
2019,08-07,165
2019,08-08,138
2019,08-09,142
2019,08-10,167
2019,08-11,123
2019,08-12,148
2019,08-13,140
2019,08-14,128
2019,08-15,161
2019,08-16,156
2019,08-17,162
2019,08-18,154
2019,08-19,158
2019,08-20,173
2019,08-21,153
2019,08-22,158
2019,08-23,176
2019,08-24,150
2019,08-25,141
2019,08-26,143
2019,08-27,164
2019,08-28,147
2019,08-29,140
2019,08-30,146
2019,08-31,176
2019,09-01,166
2019,09-02,131
2019,09-03,171
2019,09-04,142
2019,09-05,155
2019,09-06,153
2019,09-07,157
